coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage,dataset_id
24838834,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0350000/BRIT350221.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0350000/BRIT350221.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0350000/BRIT350221_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0350000/BRIT350221_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:e0a70677-6403-4ba0-bf9f-99122ad1decb,2020-03-30 10:19:07,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24838834,StillImage,Photograph,en,370-symbiota_data
24839241,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351065.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351065.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351065_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351065_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:8043886f-2f9f-4b93-8b75-7bf5272f0d8b,2020-03-30 10:19:08,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24839241,StillImage,Photograph,en,370-symbiota_data
24839375,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351319.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351319.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351319_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351319_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:552ab35c-b21c-41dd-918d-c32164bf12c4,2020-03-30 10:19:08,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24839375,StillImage,Photograph,en,370-symbiota_data
24839376,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351320.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351320.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351320_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351320_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:74404b39-329d-4000-8523-14c9b563f5af,2020-03-30 10:19:08,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24839376,StillImage,Photograph,en,370-symbiota_data
24839706,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351849.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351849.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351849_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0351000/BRIT351849_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:925455b7-ac1e-4a88-b6cb-647e39bfcccc,2020-03-30 10:19:09,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24839706,StillImage,Photograph,en,370-symbiota_data
24839893,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352119.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352119.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352119_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352119_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:d01ece53-6690-459d-8881-7d7fb6087055,2020-03-30 10:19:09,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24839893,StillImage,Photograph,en,370-symbiota_data
24840112,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352579.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352579.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352579_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352579_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:e3d94979-7bf7-40ce-8ff4-081fd9ef54b6,2020-03-30 10:19:10,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24840112,StillImage,Photograph,en,370-symbiota_data
24840133,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352600.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352600.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352600_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352600_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:e83b04f7-7db8-4b27-b4c1-fe6ae3f188f2,2020-03-30 10:19:10,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24840133,StillImage,Photograph,en,370-symbiota_data
24840146,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352613.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352613.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352613_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352613_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:74b3c9f2-db05-4d98-9552-71752ae622b4,2020-03-30 10:19:10,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24840146,StillImage,Photograph,en,370-symbiota_data
24840152,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352625.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352625.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352625_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0352000/BRIT352625_med.jpg,,Botanical Research Institute of Texas,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by/4.0/,,,urn:uuid:87bcae53-d3e4-4d36-a005-3c89ce706ad4,2020-03-30 10:19:10,image/jpeg,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24840152,StillImage,Photograph,en,370-symbiota_data
